,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
0,4.0,0.2,8.0,0.2,1.594118998,2.3679886
1,13.0,0.2,8.0,0.2,1.820350804,2.3557055
2,22.0,0.2,8.0,0.2,2.007077162,2.3815293
3,31.0,0.2,8.0,0.2,2.194487111,2.4161525
4,40.0,0.2,8.0,0.2,2.382846252,2.4536593
5,4.0,0.3,8.0,0.2,3.762884422,3.760415
6,13.0,0.3,8.0,0.2,4.318141217,4.1868243
7,22.0,0.3,8.0,0.2,4.469421262,4.263852
8,31.0,0.3,8.0,0.2,4.622635095,4.3527865
9,40.0,0.3,8.0,0.2,4.776169158,4.41295
10,4.0,0.4,8.0,0.2,2.571967658,2.7139149
11,13.0,0.4,8.0,0.2,3.22225035,3.4305265
12,22.0,0.4,8.0,0.2,3.375582284,3.4664586
13,31.0,0.4,8.0,0.2,3.52906143,3.5412025
14,40.0,0.4,8.0,0.2,3.68269945,3.6670628
15,4.0,0.5,8.0,0.2,2.094582172,2.3542104
16,13.0,0.5,8.0,0.2,2.841438966,3.0910797
17,22.0,0.5,8.0,0.2,3.028907965,3.2215266
18,31.0,0.5,8.0,0.2,3.215156545,3.3667107
19,40.0,0.5,8.0,0.2,3.401751419,3.487841
20,4.0,0.6,8.0,0.2,1.845550098,2.3132987
21,13.0,0.6,8.0,0.2,2.622861538,2.82269
22,22.0,0.6,8.0,0.2,2.859574972,3.0236444
23,31.0,0.6,8.0,0.2,3.09347769,3.2564754
24,40.0,0.6,8.0,0.2,3.327717247,3.4663782
25,4.0,0.7,8.0,0.2,1.724245463,2.3032153
26,13.0,0.7,8.0,0.2,2.469716958,2.6445875
27,22.0,0.7,8.0,0.2,2.753894154,2.8796036
28,31.0,0.7,8.0,0.2,3.036301593,3.156932
29,40.0,0.7,8.0,0.2,3.318836675,3.4532888
30,4.0,0.2,14.0,0.2,4.315277548,4.3459816
31,13.0,0.2,14.0,0.2,4.969368644,5.047462
32,22.0,0.2,14.0,0.2,5.045518679,5.2243595
33,31.0,0.2,14.0,0.2,5.116828957,5.2866797
34,40.0,0.2,14.0,0.2,5.188415477,5.3178844
35,4.0,0.3,14.0,0.2,3.069514896,3.3416731
36,13.0,0.3,14.0,0.2,4.097919344,4.1694303
37,22.0,0.3,14.0,0.2,4.196077494,4.2854314
38,31.0,0.3,14.0,0.2,4.288173579,4.3950973
39,40.0,0.3,14.0,0.2,4.379728119,4.4950776
40,4.0,0.4,14.0,0.2,2.484127932,2.520197
41,13.0,0.4,14.0,0.2,3.987882099,3.9103527
42,22.0,0.4,14.0,0.2,4.143112192,4.059664
43,31.0,0.4,14.0,0.2,4.287898695,4.198163
44,40.0,0.4,14.0,0.2,4.435782509,4.325582
45,4.0,0.5,14.0,0.2,2.145805472,2.3809063
46,13.0,0.5,14.0,0.2,3.80864444,3.7477164
47,22.0,0.5,14.0,0.2,4.023734171,3.9374175
48,31.0,0.5,14.0,0.2,4.220744538,4.1030793
49,40.0,0.5,14.0,0.2,4.417034982,4.254518
50,4.0,0.6,14.0,0.2,1.952675944,2.3373737
51,13.0,0.6,14.0,0.2,3.527177246,3.600871
52,22.0,0.6,14.0,0.2,3.772456184,3.8119588
53,31.0,0.6,14.0,0.2,4.001404854,3.9914556
54,40.0,0.6,14.0,0.2,4.226436193,4.1615868
55,4.0,0.7,14.0,0.2,1.924444018,2.3178463
56,13.0,0.7,14.0,0.2,3.309642896,3.447215
57,22.0,0.7,14.0,0.2,3.628584925,3.6919794
58,31.0,0.7,14.0,0.2,3.901703747,3.8648133
59,40.0,0.7,14.0,0.2,4.169302524,4.0438786
60,4.0,0.2,20.0,0.2,4.725962855,4.5421834
61,13.0,0.2,20.0,0.2,5.723044328,5.727819
62,22.0,0.2,20.0,0.2,5.83466519,5.853814
63,31.0,0.2,20.0,0.2,5.911421113,5.8941965
64,40.0,0.2,20.0,0.2,5.986409003,5.912104
65,4.0,0.3,20.0,0.2,3.293009559,3.3916862
66,13.0,0.3,20.0,0.2,5.091342444,5.055135
67,22.0,0.3,20.0,0.2,5.248172983,5.229089
68,31.0,0.3,20.0,0.2,5.357620011,5.324561
69,40.0,0.3,20.0,0.2,5.463593988,5.4150853
70,4.0,0.4,20.0,0.2,2.531399042,2.6830401
71,13.0,0.4,20.0,0.2,4.867020032,4.7741323
72,22.0,0.4,20.0,0.2,5.095934651,5.052452
73,31.0,0.4,20.0,0.2,5.255458969,5.2063746
74,40.0,0.4,20.0,0.2,5.410199599,5.351572
75,4.0,0.5,20.0,0.2,2.241933797,2.4997768
76,13.0,0.5,20.0,0.2,4.652430426,4.5854263
77,22.0,0.5,20.0,0.2,4.930629773,4.9508715
78,31.0,0.5,20.0,0.2,5.12992361,5.130768
79,40.0,0.5,20.0,0.2,5.322164308,5.297019
80,4.0,0.6,20.0,0.2,2.241952075,2.4145358
81,13.0,0.6,20.0,0.2,4.524284475,4.372495
82,22.0,0.6,20.0,0.2,4.873270469,4.8108244
83,31.0,0.6,20.0,0.2,5.128057645,5.006683
84,40.0,0.6,20.0,0.2,5.367919956,5.182589
85,4.0,0.7,20.0,0.2,2.203452482,2.3669498
86,13.0,0.7,20.0,0.2,4.159994748,4.133343
87,22.0,0.7,20.0,0.2,4.689840533,4.631013
88,31.0,0.7,20.0,0.2,4.97268737,4.842991
89,40.0,0.7,20.0,0.2,5.251736137,5.0262847
90,4.0,0.2,26.0,0.2,5.138415073,5.022469
91,13.0,0.2,26.0,0.2,6.523456933,6.6016035
92,22.0,0.2,26.0,0.2,6.714106404,6.7846584
93,31.0,0.2,26.0,0.2,6.798187408,6.8583956
94,40.0,0.2,26.0,0.2,6.865493839,6.881783
95,4.0,0.3,26.0,0.2,3.547239889,3.583522
96,13.0,0.3,26.0,0.2,6.185662199,6.1494446
97,22.0,0.3,26.0,0.2,6.475398968,6.3949156
98,31.0,0.3,26.0,0.2,6.600418916,6.4953957
99,40.0,0.3,26.0,0.2,6.723117528,6.5818677
100,4.0,0.4,26.0,0.2,2.607385635,2.924244
101,13.0,0.4,26.0,0.2,5.614695319,5.7089725
102,22.0,0.4,26.0,0.2,5.986093725,6.121356
103,31.0,0.4,26.0,0.2,6.141442047,6.2964053
104,40.0,0.4,26.0,0.2,6.295181365,6.4527574
105,4.0,0.5,26.0,0.2,2.500044119,2.7016764
106,13.0,0.5,26.0,0.2,5.588511425,5.433697
107,22.0,0.5,26.0,0.2,6.052841955,5.9630485
108,31.0,0.5,26.0,0.2,6.265140051,6.1651955
109,40.0,0.5,26.0,0.2,6.468431951,6.344797
110,4.0,0.6,26.0,0.2,2.537572632,2.5797865
111,13.0,0.6,26.0,0.2,5.250145162,5.155559
112,22.0,0.6,26.0,0.2,5.862617692,5.7769294
113,31.0,0.6,26.0,0.2,6.107693615,5.98765
114,40.0,0.6,26.0,0.2,6.342595853,6.17421
115,4.0,0.7,26.0,0.2,2.485588695,2.491714
116,13.0,0.7,26.0,0.2,4.612160254,4.849656
117,22.0,0.7,26.0,0.2,5.479833304,5.5585036
118,31.0,0.7,26.0,0.2,5.741118518,5.77169
119,40.0,0.7,26.0,0.2,6.012250538,5.9578476
120,4.0,0.2,32.0,0.2,5.711324457,5.560027
121,13.0,0.2,32.0,0.2,7.583594877,7.528461
122,22.0,0.2,32.0,0.2,7.91643231,7.8037825
123,31.0,0.2,32.0,0.2,8.047933602,7.9256697
124,40.0,0.2,32.0,0.2,8.090244313,7.9686713
125,4.0,0.3,32.0,0.2,3.803351438,3.8309503
126,13.0,0.3,32.0,0.2,7.258858569,7.173821
127,22.0,0.3,32.0,0.2,7.756325635,7.4795117
128,31.0,0.3,32.0,0.2,7.8965491,7.5703397
129,40.0,0.3,32.0,0.2,8.035107682,7.637507
130,4.0,0.4,32.0,0.2,2.867192151,3.155251
131,13.0,0.4,32.0,0.2,6.611232729,6.557538
132,22.0,0.4,32.0,0.2,7.237940364,7.0892963
133,31.0,0.4,32.0,0.2,7.412575751,7.2612553
134,40.0,0.4,32.0,0.2,7.584716306,7.405671
135,4.0,0.5,32.0,0.2,2.719371091,2.9053288
136,13.0,0.5,32.0,0.2,6.218838361,6.162773
137,22.0,0.5,32.0,0.2,6.958463669,6.8669586
138,31.0,0.5,32.0,0.2,7.172693072,7.0766745
139,40.0,0.5,32.0,0.2,7.372205227,7.2505455
140,4.0,0.6,32.0,0.2,2.874514381,2.7840602
141,13.0,0.6,32.0,0.2,5.963016309,5.7919135
142,22.0,0.6,32.0,0.2,6.99323538,6.628645
143,31.0,0.6,32.0,0.2,7.249170693,6.855457
144,40.0,0.6,32.0,0.2,7.492002658,7.041772
145,4.0,0.7,32.0,0.2,2.834129686,2.70515
146,13.0,0.7,32.0,0.2,5.175391885,5.4033084
147,22.0,0.7,32.0,0.2,6.556930105,6.3541493
148,31.0,0.7,32.0,0.2,6.84282723,6.590509
149,40.0,0.7,32.0,0.2,5.710045526,6.782546
150,4.0,0.2,8.0,0.4,2.534742304,2.8374934
151,13.0,0.2,8.0,0.4,2.745016693,3.0011544
152,22.0,0.2,8.0,0.4,2.692379538,2.8677201
153,31.0,0.2,8.0,0.4,2.63802753,2.788434
154,40.0,0.2,8.0,0.4,2.584149751,2.75067
155,4.0,0.3,8.0,0.4,2.847393121,3.161276
156,13.0,0.3,8.0,0.4,3.234888573,3.4228296
157,22.0,0.3,8.0,0.4,3.196224434,3.3832254
158,31.0,0.3,8.0,0.4,3.15703716,3.3573742
159,40.0,0.3,8.0,0.4,3.117290951,3.3449163
160,4.0,0.4,8.0,0.4,2.811448538,3.0616655
161,13.0,0.4,8.0,0.4,3.418116758,3.4899213
